%ConSeg,%Medio,Aurorizacion,Año,Cuenta,Dia,Estado,Estado_File,Fecha,Fecha_File,Fecha_Presentacion,Hora,Medio,Origen,Referencia,RFC,Sucursal,Tipo,Donadores,Monto
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,17,17,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM,T1C642880, ,OFICINA RECAUDADORA REGISTRO CIVIL/17031,20,1,50
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,20,20,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,TEHUANTEPEC/20090,20,1,5
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,22,22,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM,T1C644982, ,SAN JUAN DEL RIO/22007,20,1,50
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,14,14,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,LA BARCA/14054,20,1,10
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,21,21,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,HUAUCHINANGO/21020,20,1,5
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,5,5,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM,TLT603736, ,BLVD. CONSTITUCION DE TORREON/5023,20,1,30
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,12,12,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM,T1T651331, ,XALTIANGUIS/12003,20,1,30
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,18,18,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM,T1T618934, ,SAN BLAS/18027,20,1,30
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,12,12,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM,T1C639819, ,TLALIXTAQUILLA/12062,20,1,50
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,5,5,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM,T1T603659, ,GENERAL COSS DE SALTILLO/5019,20,1,30
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,28,28,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM,T1C647854, ,COL FLORES MAGON DE CD MADERO/28053,20,1,50
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,28,28,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM,T1C647779, ,EL PENON DE CIUDAD VICTORIA/28004,20,1,50
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,16,16,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM,T1C642393, ,SANTA CLARA DEL COBRE/16044,20,1,50
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,4,4,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM,T1T602621, ,CD. DEL CARMEN/4007,20,1,30
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,20,20,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,SANTA CATARINA YOSONOTU/20047,20,1,5
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,20,20,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,TEHUANTEPEC/20090,20,1,10
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,21,21,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,ZACATLAN/21055,20,1,5
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,20,20,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,ASUNCION ATOYAQUILLO/20121,20,1,11
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,32,32,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,JEREZ DE GARCIA SALINAS/32009,20,1,10
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,25,25,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,LOS MOCHIS/25049,20,1,10
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,20,20,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,JUXTLAHUACA/20033,20,1,20
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,10,10,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,20 DE NOVIEMBRE DE DURANGO/10007,20,1,20
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,31,31,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,PARQUE CIENTIFICO/31032,20,1,5
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,26,26,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,BACOBAMPO/26009,20,1,10
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,11,11,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM,TIC639193, ,HUANIMARO/11025,20,1,50
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,15,15,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM,TIT614472, ,TOLUCA/15051,20,1,30
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,25,25,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM,T1T625948, ,PUEBLOS UNIDOS/25080,20,1,30
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,14,14,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,VILLA MARIANO ESCOBEDO/14100,20,1,20
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,32,32,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,CANITAS DE FELIPE PESCADOR/32002,20,1,20
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,1,1,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,ASIENTOS/1015,20,1,5
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,30,30,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,CUICHAPA/30028,20,1,10
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,8,8,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,GUACHOCHIC/8028,20,1,10
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,27,27,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,HOSPITAL GENERAL ISSET/27030,20,1,10
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,1,1,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,ASIENTOS/1015,20,1,5
D100-10:31,20/20,TELECOMM,2016,TELECOMM,D100,24,24,10/12/2016 10:31,10/12/2016, ,10:31,20,TELECOMM, , ,SANTO DOMINGO/24002,20,1,50
